#Samples,Avg. cos sim with true grad,Avg. pairwise cos sim,Norm,Estimator,K,trial
1,0.11092116683721542,-0.0053548566065728664,1.1084638833999634,dpg,0,Generator(PCG64)
1,0.10816781222820282,0.015948299318552017,1.1322475671768188,maac,0,Generator(PCG64)
6,0.25084882974624634,0.04317538067698479,0.5864219069480896,dpg,0,Generator(PCG64)
6,0.24995334446430206,0.041983895003795624,0.6611648201942444,maac,0,Generator(PCG64)
11,0.3196307122707367,0.12245752662420273,0.36708325147628784,dpg,0,Generator(PCG64)
11,0.3153255581855774,0.10381600260734558,0.4596499502658844,maac,0,Generator(PCG64)
16,0.3864961862564087,0.13186046481132507,0.4585105776786804,dpg,0,Generator(PCG64)
16,0.40055519342422485,0.14159329235553741,0.41106605529785156,maac,0,Generator(PCG64)
21,0.4214400351047516,0.17842739820480347,0.3471159338951111,dpg,0,Generator(PCG64)
21,0.4690430760383606,0.20467029511928558,0.40995272994041443,maac,0,Generator(PCG64)
26,0.47066861391067505,0.2452085018157959,0.329210489988327,dpg,0,Generator(PCG64)
26,0.4926740229129791,0.26305249333381653,0.3141202926635742,maac,0,Generator(PCG64)
31,0.4656509459018707,0.22384844720363617,0.2688489556312561,dpg,0,Generator(PCG64)
31,0.49810105562210083,0.25465938448905945,0.2877974212169647,maac,0,Generator(PCG64)
36,0.5547283887863159,0.3109274208545685,0.30154672265052795,dpg,0,Generator(PCG64)
36,0.4921463131904602,0.2698557674884796,0.26928219199180603,maac,0,Generator(PCG64)
41,0.528424084186554,0.30685925483703613,0.2775154411792755,dpg,0,Generator(PCG64)
41,0.5652507543563843,0.3292469382286072,0.252874493598938,maac,0,Generator(PCG64)
46,0.5913570523262024,0.4082244336605072,0.2617349624633789,dpg,0,Generator(PCG64)
46,0.5778740644454956,0.31261852383613586,0.24546070396900177,maac,0,Generator(PCG64)
51,0.5988048315048218,0.36855578422546387,0.2522903084754944,dpg,0,Generator(PCG64)
51,0.6263259649276733,0.46023187041282654,0.2799075245857239,maac,0,Generator(PCG64)
56,0.5996999144554138,0.38494494557380676,0.21306154131889343,dpg,0,Generator(PCG64)
56,0.575114905834198,0.38185107707977295,0.22717638313770294,maac,0,Generator(PCG64)
61,0.6672457456588745,0.46643751859664917,0.2626696228981018,dpg,0,Generator(PCG64)
61,0.6119688749313354,0.39334866404533386,0.22290167212486267,maac,0,Generator(PCG64)
66,0.6518079042434692,0.43016311526298523,0.23481066524982452,dpg,0,Generator(PCG64)
66,0.6316543817520142,0.4324367940425873,0.22148191928863525,maac,0,Generator(PCG64)
71,0.649357259273529,0.45953500270843506,0.23409342765808105,dpg,0,Generator(PCG64)
71,0.6301922798156738,0.42134860157966614,0.2390398532152176,maac,0,Generator(PCG64)
76,0.6608588099479675,0.47060471773147583,0.23339799046516418,dpg,0,Generator(PCG64)
76,0.642428994178772,0.45425087213516235,0.2127150595188141,maac,0,Generator(PCG64)
81,0.6669663786888123,0.47975730895996094,0.2382398098707199,dpg,0,Generator(PCG64)
81,0.6805446147918701,0.4614957571029663,0.22604402899742126,maac,0,Generator(PCG64)
86,0.6936989426612854,0.5219873785972595,0.22679421305656433,dpg,0,Generator(PCG64)
86,0.7005085945129395,0.5143212080001831,0.2127993404865265,maac,0,Generator(PCG64)
91,0.7000463604927063,0.5120695233345032,0.20842449367046356,dpg,0,Generator(PCG64)
91,0.6973626613616943,0.49585479497909546,0.2232581079006195,maac,0,Generator(PCG64)
96,0.6945070624351501,0.4918949604034424,0.21119482815265656,dpg,0,Generator(PCG64)
96,0.7025316953659058,0.5413725972175598,0.21648356318473816,maac,0,Generator(PCG64)
101,0.7211241722106934,0.5646747350692749,0.21518738567829132,dpg,0,Generator(PCG64)
101,0.6904309391975403,0.5370042324066162,0.20984451472759247,maac,0,Generator(PCG64)
