#Samples,Avg. cos sim with true grad,Avg. pairwise cos sim,Norm,Estimator,K,trial
1,0.0922965258359909,0.013733970001339912,65.69136047363281,dpg,2,Generator(PCG64)
1,0.1464710682630539,0.0720263347029686,141.48580932617188,maac,2,Generator(PCG64)
6,0.2573781907558441,0.06828900426626205,70.37309265136719,dpg,2,Generator(PCG64)
6,0.4214036464691162,0.15465812385082245,128.39016723632812,maac,2,Generator(PCG64)
11,0.4142763018608093,0.16823448240756989,41.80658721923828,dpg,2,Generator(PCG64)
11,0.6502125263214111,0.4039995074272156,110.59712982177734,maac,2,Generator(PCG64)
16,0.41899338364601135,0.2086474746465683,37.8594856262207,dpg,2,Generator(PCG64)
16,0.721105694770813,0.5036172270774841,74.35945129394531,maac,2,Generator(PCG64)
21,0.5157058835029602,0.22888273000717163,37.598365783691406,dpg,2,Generator(PCG64)
21,0.7308124303817749,0.5392624139785767,80.94380950927734,maac,2,Generator(PCG64)
26,0.5405250787734985,0.3014969825744629,41.668182373046875,dpg,2,Generator(PCG64)
26,0.7702862024307251,0.5890510678291321,80.10888671875,maac,2,Generator(PCG64)
31,0.6024937629699707,0.366832435131073,38.778602600097656,dpg,2,Generator(PCG64)
31,0.759546160697937,0.629802405834198,65.51573181152344,maac,2,Generator(PCG64)
36,0.6186058521270752,0.39893341064453125,30.528339385986328,dpg,2,Generator(PCG64)
36,0.8135744333267212,0.7230886816978455,69.76998138427734,maac,2,Generator(PCG64)
41,0.5984620451927185,0.39106568694114685,33.78349304199219,dpg,2,Generator(PCG64)
41,0.830680251121521,0.6947142481803894,79.39163208007812,maac,2,Generator(PCG64)
46,0.6788377165794373,0.4744510352611542,29.044261932373047,dpg,2,Generator(PCG64)
46,0.8503391146659851,0.7314748167991638,81.56236267089844,maac,2,Generator(PCG64)
51,0.6851102113723755,0.4566735029220581,30.394519805908203,dpg,2,Generator(PCG64)
51,0.8617097735404968,0.7384119033813477,78.75531768798828,maac,2,Generator(PCG64)
56,0.7016730308532715,0.5052033066749573,29.684240341186523,dpg,2,Generator(PCG64)
56,0.8766176104545593,0.768103301525116,85.7978744506836,maac,2,Generator(PCG64)
61,0.726550281047821,0.5226545333862305,31.86246681213379,dpg,2,Generator(PCG64)
61,0.876236617565155,0.7685341835021973,68.1148681640625,maac,2,Generator(PCG64)
66,0.7378280162811279,0.5582980513572693,28.735849380493164,dpg,2,Generator(PCG64)
66,0.8825898170471191,0.7984460592269897,69.84534454345703,maac,2,Generator(PCG64)
71,0.7459362745285034,0.5776200294494629,28.126541137695312,dpg,2,Generator(PCG64)
71,0.9011131525039673,0.819983184337616,73.11698913574219,maac,2,Generator(PCG64)
76,0.740953266620636,0.584784209728241,30.265674591064453,dpg,2,Generator(PCG64)
76,0.9018092155456543,0.8322988152503967,71.22948455810547,maac,2,Generator(PCG64)
81,0.7695316076278687,0.6213664412498474,29.02236557006836,dpg,2,Generator(PCG64)
81,0.9090417623519897,0.8387703895568848,77.75614929199219,maac,2,Generator(PCG64)
86,0.7777116894721985,0.61029052734375,25.98756980895996,dpg,2,Generator(PCG64)
86,0.9275331497192383,0.8594037294387817,77.47299194335938,maac,2,Generator(PCG64)
91,0.7561731338500977,0.611165463924408,27.540592193603516,dpg,2,Generator(PCG64)
91,0.8982416391372681,0.8113573789596558,70.1988296508789,maac,2,Generator(PCG64)
96,0.7725846171379089,0.6307842135429382,26.441707611083984,dpg,2,Generator(PCG64)
96,0.910849392414093,0.8361947536468506,70.14270782470703,maac,2,Generator(PCG64)
